Asset #,Location
620995,2D-001
620994,2D-001
614986,2D-001
621000,2D-002
620992,2D-002
av00284,2D-002
av03625,2D-003
av03646,2D-003
av00260,2D-003
av02467,2D-004
av00736,2D-004
av00792,2D-004
av00281,2D-004
av03651,2D-006
av00261,2D-006
av02230,2D-007
av00253,2D-005
av03628,2D-005
av02608,2D-005
av00135,2D-005
av00629,2D-005
av00288,2D-008
av00632,2D-008
av03046,2D-011
av03059,2D-011
621669,2D-011
av00631,2D-012
av00271,2D-012
av00252,2D-013
av02605,2D-013
av03655,2D-013
av01735,2D-014
av00256,2D-014
av00738,2D-014
621005,2D-015
av00291,2D-015
av03640,2D-015
av03623,2D-016
av03620,2D-016
av00285,2D-016
av00795,2D-019
614990,2D-100
av01963,2D-100
av01967,2D-100
aw00061,2D-100
621424,2D-101
av01965,2D-101
av01974,2D-101
614974,2D-101
av01724,2D-102
917578,2D-102
917578,2D-103
av01709,2D-103
av00292,2D-103
av03611,2D-103
av02497,2D-103
av02497,2D-104
621437,2D-104
621673,2D-104
621438,2D-104
621438,2D-105
aw00149,2D-105
621025,2D-105
621025,2D-106
aw00125,2D-106
621702,2D-106
av02494,2D-106
aw00087,2D-107
621692,2D-107
621692,2D-108
621692,2D-108
av00235,2D-108
av00515,2D-108
623011,2D-109
621675,2D-109
621675,2D-111
av03637,2D-112
av02593,2D-112
aw00033,2D-114
621703,2D-114
621703,2D-118
614995,2D-118
621028,2D-118
621021,2D-118
621713,2D-119
621712,2D-119
av00244,2D-119
av00244,2D-121
621024,2D-121
621006,2D-121
aw00076,2D-121
av02718,2D-121
av02718,2D-122
aw00089,2D-122
621706,2D-123
621720,2D-123
av00295,2D-123
av02654,2D-123
621026,2D-124
621007,2D-124
623041,2D-124
av03661,2D-127
614975,2D-127
621719,2D-126
621696,2D-126
av00717,2D-126
aw00124,2D-126
av01928,2D-128
av01931,2D-128
av00259,2D-128
av00266,2D-129
av02463,2D-129
av01930,2D-130
av01926,2D-130
av00246,2D-130
av01919,2D-131
av01920,2D-131
av00251,2D-131
av01923,2D-133
aw00039,2D-133
av01921,2D-133
av01927,2D-132
av01924,2D-132
av00236,2D-132
aw00135,2D-132
621002,2D-134
aw00095,2D-134
621012,2D-134
av03615,2D-135
aw00046,2D-136
av01922,2D-136
av01925,2D-136
av00720,2D-136
av00294,2D-137
621434,4-SR-002
620998,4-SR-002
621020,4-SR-002
av03642,4-SR-001
av03644,4-SR-001
av03658,4-SR-001
av00245,4-004
av01960,4-004
av01961,4-001
av00269,4-001
av00572,74-123
aw00084,74-123
av00569,74-123
av01314,74-122
aw00036,74-1XX
621679,74-1XX
av00273,74-124
av01796,74-124
av02847,74-124
av02700,74-124
av02739,74-124
av02824,74-125
av00239,74-125
av02648,74-125
av02647,74-125
av02937,74-125
av02935,74-132
av02936,74-132
av00644,74-132
av02285,74-126
aw00049,74-126
av02985,74-126
av02745,74-131
av02746,74-131
av02768,74-131
aw00118,74-131
av02880,74-127
av02752,74-127
av02751,74-127
av02750,74-127
620261,74-127
aw00081,74-130
av02740,74-130
aw00131,74-128
621011,74-128
621022,74-128
622600,74-128
aw00121,74-129
av02635,74-129
621422,74-117
621425,74-117
av02643,74-117
av01312,74-117
av01220,74-118
av02737,74-118
aw00160,74-118
av02555,74-120
aw00159,74-120
av02552,74-120
614987,74-121
aw00173,74-119
aw00067,74-116
aw00178,74-115
621718,74-114
621764,74-114
621682,74-114
aw00032,74-113
av00241,74-113
aw00082,74-111
av02425,74-111
av00701,74-111
av02994,74-111
aw00030,74-109
aw00102,74-108
623021,74-108
623021,74-107
av03027,74-107
aw00163,74-107
av01710,74-107
aw00123,74-106
av01983,74-105
av01966,74-105
av00708,74-105
av00903,74-105
621672,74-100
aw00171,74-100
av02095,74-105
614996,74-103
621678,74-103
av02424,74-103
621671,74-102
622554,74-102
av02345,74-100
av01970,74-100
av01706,74-100
917513,74-100
av02259,74-101
av01494,74-101
aw00166,74-101
aw00040,74-200
av01447,74-200
av02339,74-201
aw00181,74-201
av00768,74-201
aw00079,74-202
av00172,74-202
av01718,74-202
av02113,74-202
av02666,74-202
av02519,74-202
au1a1205007837,74-226
614586,74-226
aw00064,74-226
av02801,74-203
av00675,74-203
aw00071,74-203
av02465,74-203
av00104,74-204A
av00105,74-204A
